Last Name,First Name,Address,City,State,Zip/Postal Code,Phone Number,Misc
Wilson,Dora,,Seattle,WA,98101,(206) 199-1482,
Wilson,Mike,,Seattle,WA,98101,(206)199-5527,
Willson,Joan,,,,98101,(206) 199-8678,
Willson,Janey,,,,98101,(206) 199-86728,
Wills,Laura,,Seattle,WA,98101,(206) 199-0804,
Wiliam,Tammy,,Seattle,WA,98101,(206) 199-9994,
William,Alisa,,Seattle,WA,98101,206-199-5526,
William,Bernard,,Seattle,WA,,(939)199-5151,
Williams,Hank,,Seattle,WA,98101,(206) 199-5213,
Williams,Nancy,,Seattle,WA,98101,(206) 199-2711,
Williams,Nick,,Seattle,WA,98101,(555) 555-5555,
Williams,Nicholas,,Seattle,WA,98101,,
Williams,John,,Seattle,WA,98101,(206) 199-1816,
Williams,Jane,,Seattle,WA,98101,(206) 199-8968,
Williams,Bridget,,Seattle,WA,,(206) 199-9105,
Williams,Ronald,,Seattle,WA,98101,(206) 199-0119,
Williams,Sean,,Seattle,WA,,(206) 199-4251,
Williams,Shawn,,Seattle,WA,,(809) 199-4251,
Williams,Ronald,,Seattle,WA,98101,+12061990119,
Willis,Laurel,,Seattle,WA,98101,(206) 199-0804,
Willis,Abigail,,Seattle,WA,98101,20619925218,
Wills,Michael,,Seattle,WA,98101,,
Williams,Nancy,,Seattle,WA,98101,(206) 199-8811,
Wilks,Alice,,Seattle,WA,98101,(206) 199-9876,
Wilks,Harry,,Seattle,WA,98101,(206) 199-5213,
Wilks,Rene,,Seattle,WA,98101,(206)1992711,
Wright,Andrew,,Seattle,WA,98101,(206) 199-0808,
Wright,Timothy,,Seattle,WA,98101,(206) 199-9995,
Wright,Anna,,Seattle,WA,98101,(206) 199-5529,
Wright,Bradford,,Seattle,WA,98101,(206) 199-5214,
Wright,Ricardo,,Seattle,WA,,() 199-4251,
Wright,Patrick,,Seattle,WA,98101,(206) 199-2712,
